session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Living abroad,Nationality,Sex,Student Status
620f7ce03fb6d0ddf5cc7844,600eef2ab9ca7c016d3ae411,APPROVED,2022-02-18 11:02:58.785000,2022-02-18 11:06:16.510000,197.725,19,216,2,100,2022-02-18 11:53:24.589000,91855C54,Germany,Germany,DATA EXPIRED,German,No,Germany,Male,DATA EXPIRED
620f7d7a042f04887e5abff9,5e5274dc80c3502832663ca1,APPROVED,2022-02-18 11:05:33.468000,2022-02-18 11:08:21.709000,168.241,29,295,4,99,2022-02-18 11:53:24.665000,91855C54,Germany,Germany,Full-Time,German,No,Germany,Male,No
620f7de99079e143046b88ed,5be1fa42a769b70001d43d20,APPROVED,2022-02-18 11:07:24.131000,2022-02-18 11:09:42.498000,138.367,25,670,6,99,2022-02-18 11:53:24.732000,91855C54,Germany,Germany,Other,German,No,Germany,Female,Yes
620f7e8c4c7db61ad9ae1498,61053c70d6b67466ca227dd5,APPROVED,2022-02-18 11:10:05.989000,2022-02-18 11:13:06.291000,180.302,21,45,0,100,2022-02-18 11:53:24.817000,91855C54,Germany,Germany,DATA EXPIRED,German,No,Germany,Female,DATA EXPIRED
620f7e94ee2c5c9e8f827daf,61574c44d4bd510e680f9d7a,APPROVED,2022-02-18 11:10:16.199000,2022-02-18 11:13:36.319000,200.12,25,153,0,100,2022-02-18 11:53:24.912000,91855C54,Germany,Germany,Unemployed (and job seeking),German,No,Germany,Male,No
620f7ecd97cca366e9cd49e7,60f8890658605cd0ffba3e99,APPROVED,2022-02-18 11:11:10.973000,2022-02-18 11:15:12.478000,241.505,25,180,0,100,2022-02-18 11:53:25.011000,91855C54,Germany,Germany,Part-Time,German,No,Germany,Male,Yes
620f7eeb07b34bad3d27b281,615d70b27b77ead3e769531d,APPROVED,2022-02-18 11:11:57.339000,2022-02-18 11:14:48.588000,171.249,24,81,0,100,2022-02-18 11:53:25.099000,91855C54,Germany,Germany,Due to start a new job within the next month,German,No,Serbia,Female,Yes
620f7f47ca8df7ce0ba85009,607d81b74e8eb13d77afd7e8,APPROVED,2022-02-18 11:13:13.648000,2022-02-18 11:14:37.013000,83.365,21,160,0,100,2022-02-18 11:53:25.198000,91855C54,Germany,Germany,Other,German,No,Germany,Male,Yes
620f7f5b68ecb2ea2299ef78,60fdc1f1d109c14d5eb8bbda,APPROVED,2022-02-18 11:13:35.600000,2022-02-18 11:16:28.699000,173.099,22,34,0,100,2022-02-18 11:53:25.302000,91855C54,Germany,Germany,DATA EXPIRED,German,No,Germany,Female,DATA EXPIRED
620f801aab7bb45b7481ce54,60fd8d7489c1e150a8c29d96,APPROVED,2022-02-18 11:16:45.378000,2022-02-18 11:20:01.159000,195.781,23,79,0,100,2022-02-18 11:53:25.378000,91855C54,Germany,Germany,"Not in paid work (e.g. homemaker', 'retired or disabled)",German,No,Germany,Female,Yes
620f8026fb6119ed8cefae0b,607addebeb054898eb34d450,APPROVED,2022-02-18 11:16:57.959000,2022-02-18 11:19:29.362000,151.403,20,96,0,100,2022-02-18 11:53:25.492000,91855C54,Germany,Germany,Part-Time,German,No,Germany,Male,Yes
620f802afd752c48a12f70d9,5c79a584670f87001646cef6,APPROVED,2022-02-18 11:17:37.388000,2022-02-18 11:23:37.459000,360.071,69,587,9,97,2022-02-18 11:53:25.569000,91855C54,Germany,Germany,DATA EXPIRED,German,No,Germany,Female,DATA EXPIRED
