Timestamp;"Ein AfD-Politiker sagt: ''Niemand ist rechtspopulistisch, wenn er nicht nachts die Stra†enseite wechseln will, weil illegale Einwanderer ihm den Weg versperren."" 

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?";"Ein GrÅnen-Politiker sagt: ''Einen neuen Mercedes? Den k?nnen sich in Deutschland nur noch neu zugezogene BÅrger leisten.""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?";"Ein SPD-Politiker sagt: ""Migration ist die Mutter aller Probleme.""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?";"Ein AfD-Politiker sagt: ""Viele Muslime leben rechtstreu sowie integriert und sind akzeptierte und gesch?tzte Mitglieder unserer Gesellschaft.""
 
Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?";"Ein GrÅnen-Politiker sagt: ""Deutschland verarmt, aber die Asylindustrie schwimmt in Geld.""
 
Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?";"Ein SPD-Politiker sagt: ""In Deutschland herrscht ein gro†er Fachkr?ftemangel. Migration bringt uns viele Fachkr?fte, die wir dringend brauchen.""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?";"Ein AfD-Politiker sagt: ""Wir sagen: Es geht darum, die Fluchtursachen zu beseitigen, damit sich die Menschen erst gar nicht auf den Weg nach Europa und nach Deutschland machen.""
 
Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?";"Ein GrÅnen-Politiker sagt: ""Im Brustton voller ?berzeugung sage ich: Ja, wir wollen alles fÅr unsere Heimat, fÅr Sachsen-Anhalt und fÅr Deutschland tun.""
 
Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?";"Ein AfD-Politiker sagt: ""Gemeinsam wollen wir in Sachsen, Brandenburg und ThÅringen die fatale Politik der Altparteien korrigieren.""
 
Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?";"Ein SPD-Politiker sagt: ""Migranten sind Åberproportional oft kriminell.""
 
Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?";"Ein GrÅnen-Politiker sagt: ?Die GrÅnen sind keine ausl?nderfeindliche Partei. Wir sehen uns viel mehr als eine inl?nderfreundliche Alternative.""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?";"Ein AfD-Politiker sagt: ""FÅr uns kann es ohne Nationalstaat keinen Sozialstaat geben und ohne nationale Solidarit?t keine soziale Solidarit?t.""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?";"Ein GrÅnen-Politiker sagt: ""Wer soll in Zukunft fÅr die Renten aufkommen? Wer zahlt denn die stattlichen Pensionen der Staatsbediensteten? Etwa die eingewanderten Menschen?""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?";"Ein SPD-Politiker sagt: ""Migration bringt gro†en Mehrwert in verschiedenen Bereichen unserer Gesellschaft.""

Wie migrationsfreundlich bzw. -feindlich ist dieser Politiker?";Wie alt sind Sie?;Ihr Geschlecht;Was ist Ihr h?chster Bildungsabschluss?;Haben Sie, Ihre Eltern oder Gro†eltern eine Migrationsgeschichte?;Was ist Ihre ethnische Zugeh?rigkeit?;Wenn am Sonntag Bundestagswahl w?re, welche Partei wÅrden Sie w?hlen?;"Wie bewerten Sie pers?nlich die folgende Aussage: ""Das Recht anerkannter FlÅchtlinge auf Familiennachzug soll abgeschafft werden.""";"Wie bewerten Sie pers?nlich die folgende Aussage: ""Das Tragen eines Kopftuchs soll Beamtinnen im Dienst generell erlaubt sein""";"Wie bewerten Sie pers?nlich die folgende Aussage: ""In Deutschland soll es generell m?glich sein, neben der deutschen eine zweite Staatsangeh?rigkeit zu haben.""";"Wie bewerten Sie pers?nlich die folgende Aussage: ""Islamische Verb?nde sollen als Religionsgemeinschaften staatlich anerkannt werden.""";"Wie bewerten Sie pers?nlich die folgende Aussage: ""Asyl soll weiterhin nur politisch Verfolgten gew?hrt werden.  """
;;;;;;;;;;;;;;;;;;;;;;;;;
2023/02/27 12:30:37 PM GMT+2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;Weiblich;Kein Abschluss;Ja, ich bin nach Deutschland migriert.;Wei†;SPD;Ich stimme zu;Ich stimme zu;Ich stimme zu;Ich stimme zu;Ich stimme zu
;;;;;;;;;;;;;;;;;;;;;;;;;
2023/03/15 12:22:23 PM GMT+2;1;2;1;4;1;5;3;3;2;1;3;2;2;5;28;Weiblich;Studium;Ja, ich bin nach Deutschland migriert.;Wei†;GrÅne;Ich stimme nicht zu;Ich stimme zu;Ich stimme zu;Ich stimme zu;Ich stimme nicht zu
;;;;;;;;;;;;;;;;;;;;;;;;;
2023/03/15 1:00:42 PM GMT+2;1;2;2;3;2;3;4;2;3;1;1;1;2;4;27;Weiblich;Studium;Ja, meine Eltern sind nach Deutschland migriert.;Wei†;Ich w?hle nicht ;Ich stimme zu;Ich stimme zu;Neutral;Neutral;Ich stimme nicht zu
;;;;;;;;;;;;;;;;;;;;;;;;;
2023/03/15 9:45:45 PM GMT+2;1;2;1;3;3;4;3;3;2;1;2;2;2;5;25;Weiblich;Abitur;Ja, meine Eltern sind nach Deutschland migriert.;Asiatisch;Linke;Neutral;Ich stimme nicht zu;Ich stimme zu;Ich stimme zu;Ich stimme nicht zu
;;;;;;;;;;;;;;;;;;;;;;;;;
2023/03/17 8:27:42 PM GMT+2;3;1;1;5;1;3;3;2;3;1;2;1;1;5;24;Weiblich;Studium;Ja, meine Eltern sind nach Deutschland migriert.;Wei†;Linke;Ich stimme nicht zu;Ich stimme zu;Neutral;Neutral;Neutral
;;;;;;;;;;;;;;;;;;;;;;;;;
2023/04/13 2:34:30 PM GMT+2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;28;Weiblich;Hauptschule;Ja, ich bin nach Deutschland migriert.;Wei†;SPD;Ich stimme zu;Ich stimme zu;Ich stimme zu;Ich stimme zu;Ich stimme zu
;;;;;;;;;;;;;;;;;;;;;;;;;
2023/04/13 2:37:24 PM GMT+2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;Keine der oben genannten Optionen;Kein Abschluss;Nein;Wei†;SPD;Ich stimme zu;Ich stimme zu;Ich stimme zu;Ich stimme zu;Ich stimme zu
;;;;;;;;;;;;;;;;;;;;;;;;;
2023/04/17 12:19:07 PM GMT+2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;M?nnlich;Hauptschule;Ja, ich bin nach Deutschland migriert.;Wei†;SPD;Ich stimme zu;Ich stimme zu;Ich stimme zu;Ich stimme zu;Ich stimme zu
;;;;;;;;;;;;;;;;;;;;;;;;;
2023/05/09 11:39:41 AM GMT+3;2;2;1;5;3;5;3;3;3;2;4;3;2;5;33;M?nnlich;Studium;Ja, ich bin nach Deutschland migriert.;JÅdisch;GrÅne;Ich stimme nicht zu;Ich stimme zu;Ich stimme zu;Neutral;Ich stimme nicht zu
;;;;;;;;;;;;;;;;;;;;;;;;;
2023/05/09 11:40:54 AM GMT+3;2;1;1;5;1;4;3;3;2;2;2;3;2;5;20;M?nnlich;Abitur;Nein;Wei†;FDP;Ich stimme nicht zu;Neutral;Neutral;Neutral;Ich stimme zu
