session_id;participant_id;status;started_datetime;completed_date_time;time_taken;age;num_approvals;num_rejections;prolific_score;reviewed_at_datetime;entered_code;Country of Birth;Current Country of Residence;Employment Status;First Language;Living abroad;Nationality;Sex;Student Status
620a3cb14b91be92385e9e86;59a426b35fd74b0001abfa4f;APPROVED;2022-02-14 11:27:48.016000;2022-02-14 11:29:37.755000;109.739;39;640;4;100;2022-02-14 11:53:59.067000;91855C54;Germany;Germany;Full-Time;German;No;Germany;Female;No
620a3ce94a7e154407ea0bdb;5e43517335a4e41f04a61607;APPROVED;2022-02-14 11:28:41.525000;2022-02-14 11:31:42.584000;181.059;26;446;0;100;2022-02-14 11:56:12.409000;91855C54;Germany;Germany;Other;German;No;Germany;Male;Yes
620a3cf60c5390f40db0dbc3;60fd8d95b59b06d4415c8ccb;APPROVED;2022-02-14 11:28:56.576000;2022-02-14 11:31:13.093000;136.517;27;177;3;99;2022-02-14 11:53:59.004000;91855C54;Germany;Germany;Part-Time;German;No;Germany;Male;Yes
620a3d0195f09aa3a09a1cdf;60be1ebd38d04cdbd9f58121;APPROVED;2022-02-14 11:29:05.466000;2022-02-14 11:30:38.152000;92.686;29;236;2;99;2022-02-14 11:53:58.940000;91855C54;Germany;Germany;Full-Time;German;No;Germany;Male;No
620a3d06e34ca0220d21fe85;614595c2f02b81d11457a399;APPROVED;2022-02-14 11:29:10.875000;2022-02-14 11:32:53.808000;222.933;57;122;0;100;2022-02-14 11:56:12.322000;91855C54;Germany;Germany;Not in paid work (e.g. homemaker', 'retired or disabled);German;No;Germany;Male;No
620a3d12cb716d306ded04ec;5bfb9bd1b7fc5f00019f46ba;APPROVED;2022-02-14 11:29:22.753000;2022-02-14 11:33:36.425000;253.672;30;98;0;100;2022-02-14 11:56:12.259000;91855C54;Germany;Germany;Full-Time;German;No;Germany;Male;No
620a3d2622d94590fdac0402;60fec9a2707c2c28ac3af316;APPROVED;2022-02-14 11:29:45.095000;2022-02-14 11:31:57.203000;132.108;20;129;1;100;2022-02-14 11:53:58.874000;91855C54;Germany;Germany;Other;German;No;Germany;Female;Yes
620a3d5560e0c819c3f088c2;6154138f2410ad54223d8c00;TIMED-OUT;2022-02-14 11:30:34.308000;;5331.279545;24;56;1;100;;;Germany;Germany;Full-Time;German;No;Germany;Female;Yes
620a3d8ccbb753261dd052f6;61168fb0e84cdc4e88f85806;APPROVED;2022-02-14 11:31:27.632000;2022-02-14 11:35:25.873000;238.241;27;103;1;99;2022-02-14 11:56:12.194000;91855C54;Germany;Germany;Part-Time;German;No;Germany;Male;Yes
620a3d98c0ff4a04c9e030a2;5eb181ce611ac50989d4bd03;APPROVED;2022-02-14 11:31:36.135000;2022-02-14 11:35:04.845000;208.71;37;481;0;100;2022-02-14 11:56:12.095000;91855C54;Germany;Germany;Full-Time;German;No;Germany;Male;DATA EXPIRED
620a3d9e44806200dec4e472;60fe7985ba99343ad0b893b7;APPROVED;2022-02-14 11:31:42.920000;2022-02-14 11:33:36.351000;113.431;22;183;0;100;2022-02-14 11:53:58.787000;91855C54;Germany;Germany;Due to start a new job within the next month;German;No;Germany;Female;Yes
620a444fb67d8a0931bfc77e;5b21646bdf28a7000166f4dc;APPROVED;2022-02-14 12:00:17.862000;2022-02-14 12:06:10.626000;352.764;30;143;2;99;2022-02-14 12:56:49.974000;91855C54;Germany;Germany;Full-Time;German;No;Germany;Male;No
