"","subj","list","time","page","pprog","pracism","phonesty","phelpful","pintel","pchristian","pfriendly","pparty","age","gender","education","party","wom.refugees","wom.headscarf","wom.citizenship","wom.islam","wom.asylum","comment","sentence","dog.whistle","sentence.label"
"48",84,1,"2022/05/09 10:17:09 AM GMT+2","60-79",2,4,3,2,3,1,2,"AfD","21","männlich","Abitur","(no answer)","Neutral","Neutral","Ich stimme zu","Neutral","Ich stimme zu","/",2,"Control","Hilfe vor Ort"
"49",85,1,"2022/05/09 10:17:33 AM GMT+2","40-59",1,5,2,1,3,4,1,"AfD","32","männlich","Studium","FDP","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme nicht zu",NA,1,"Dog whistle","Kampf für Deutschland"
"50",85,1,"2022/05/09 10:17:33 AM GMT+2","40-59",3,3,3,2,4,3,2,"CDU","32","männlich","Studium","FDP","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme nicht zu",NA,2,"Control","Hilfe vor Ort"
"51",86,1,"2022/05/09 10:18:51 AM GMT+2","60-79",2,4,2,2,2,4,2,"AfD","22","männlich","Abitur","Grüne","Neutral","Ich stimme zu","Ich stimme nicht zu","Neutral","Neutral",NA,1,"Dog whistle","Kampf für Deutschland"
"52",86,1,"2022/05/09 10:18:51 AM GMT+2","60-79",2,4,2,2,2,3,2,"AfD","22","männlich","Abitur","Grüne","Neutral","Ich stimme zu","Ich stimme nicht zu","Neutral","Neutral",NA,2,"Control","Hilfe vor Ort"
"53",87,1,"2022/05/09 10:19:21 AM GMT+2","40-59",2,4,2,3,3,3,3,"keine Angabe","31","männlich","Studium","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Neutral","Es war unglaublich schwer anhand der kurzen Aussagen eine Einschätzung zu treffen. Mit differenziertem Betrachten hat das echt wenig zu tun.",1,"Dog whistle","Kampf für Deutschland"
"54",87,1,"2022/05/09 10:19:21 AM GMT+2","40-59",3,3,3,3,3,3,3,"keine Angabe","31","männlich","Studium","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Ich stimme zu","Neutral","Es war unglaublich schwer anhand der kurzen Aussagen eine Einschätzung zu treffen. Mit differenziertem Betrachten hat das echt wenig zu tun.",2,"Control","Hilfe vor Ort"
"55",88,1,"2022/05/09 10:20:56 AM GMT+2","40-59",3,3,4,4,3,3,3,"keine Angabe","69","weiblich","Studium","FDP","Ich stimme nicht zu","Neutral","Ich stimme zu","Neutral","Neutral",NA,1,"Dog whistle","Kampf für Deutschland"
"56",88,1,"2022/05/09 10:20:56 AM GMT+2","40-59",4,1,4,4,3,3,4,"keine Angabe","69","weiblich","Studium","FDP","Ich stimme nicht zu","Neutral","Ich stimme zu","Neutral","Neutral",NA,2,"Control","Hilfe vor Ort"
"57",89,1,"2022/05/09 10:23:12 AM GMT+2","40-59",3,4,3,3,4,3,3,"AfD","49","weiblich","Studium","FDP","Ich stimme nicht zu","Neutral","Ich stimme zu","Neutral","Ich stimme nicht zu",NA,1,"Dog whistle","Kampf für Deutschland"
"58",89,1,"2022/05/09 10:23:12 AM GMT+2","20-39",4,2,4,3,3,3,3,"Grüne","49","weiblich","Studium","FDP","Ich stimme nicht zu","Neutral","Ich stimme zu","Neutral","Ich stimme nicht zu",NA,2,"Control","Hilfe vor Ort"
"59",90,1,"2022/05/09 10:31:37 AM GMT+2","40-59",2,3,3,2,3,4,2,"AfD","30","weiblich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme nicht zu",NA,1,"Dog whistle","Kampf für Deutschland"
"60",90,1,"2022/05/09 10:31:37 AM GMT+2","40-59",3,2,2,3,3,3,3,"CDU","30","weiblich","Abitur","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Ich stimme nicht zu",NA,2,"Control","Hilfe vor Ort"
"61",91,2,"2022/05/09 10:40:48 AM GMT+2","40-59",4,2,3,4,4,3,4,"SPD","24","divers","kein Abschluss","Grüne","Ich stimme nicht zu","Ich stimme zu","Ich stimme zu","Neutral","Neutral",NA,1,"Control","Kampf für Deutschland"
